,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
68,Ust-Omchug,RU,32.17,61.13,149.63,88,56,3.02
69,Nha Trang,VN,80.14,12.24,109.19,99,92,2.57
70,Yaan,NG,85.72,7.38,8.57,67,0,4.03
71,Cherkasskoye,RU,61.33,52.43,47.21,49,0,7.38
72,Thompson,CA,46.4,55.74,-97.86,45,20,12.75
73,Sao Jose da Coroa Grande,BR,79.24,-8.9,-35.15,88,92,11.07
74,Roald,NO,51.44,62.58,6.12,87,75,20.8
75,Maniitsoq,GL,33.52,65.42,-52.9,100,12,6.49
76,Takoradi,GH,81.67,4.89,-1.75,97,80,10.07
77,Kerema,PG,71.77,-7.96,145.78,98,24,2.57
78,Gidole,ET,64.21,5.65,37.37,99,92,1.9
79,Pevek,RU,23.71,69.7,170.27,75,0,3.13
80,Talara,PE,84.2,-4.58,-81.27,51,0,14.99
81,Los Llanos de Aridane,ES,69.8,28.66,-17.92,77,75,8.05
82,Punta Arenas,CL,41.13,-53.16,-70.91,86,40,5.82
83,Abu Kamal,SY,88.87,34.45,40.92,19,0,18.23
84,Torbay,CA,41,47.66,-52.73,78,75,3.36
85,Khatanga,RU,28.21,71.98,102.47,83,8,10.96
86,Carnarvon,ZA,41.17,-30.97,22.13,88,0,6.38
87,Balkhash,KZ,64.12,46.84,74.98,72,0,15.21
88,Upernavik,GL,30.91,72.79,-56.15,97,24,13.09
89,Port Blair,IN,87.16,11.67,92.75,100,8,9.51
90,Kropotkin,RU,74.2,45.43,40.58,55,56,7.05
91,Madimba,CM,86,4.42,9.93,70,40,4.7
92,Hermanus,ZA,56.65,-34.42,19.24,84,12,9.51
93,Bethel,US,37.4,60.79,-161.76,93,90,8.05
94,Sept-Iles,CA,35.6,50.2,-66.38,74,90,8.05
95,Codrington,AU,42.88,-28.95,153.24,86,0,2.35
96,Cape Town,ZA,60.8,-33.93,18.42,77,75,20.8
97,Avarua,CK,69.8,-21.21,-159.78,94,20,2.24
98,Lagoa,PT,68,37.14,-8.45,64,20,8.05
99,Klaksvik,FO,46.4,62.23,-6.59,81,56,11.41
100,Hasaki,JP,55.4,35.73,140.83,100,75,12.53
101,Sao Joao da Barra,BR,80.6,-21.64,-41.05,51,20,2.24
102,Atuona,PF,81.04,-9.8,-139.03,100,76,14.76
103,Rio Grande,BR,64.4,-32.03,-52.1,55,40,10.29
104,Manicore,BR,85.9,-5.81,-61.3,69,64,2.91
105,Islampur,IN,76.18,26.26,88.19,99,44,8.16
106,Salinas,US,55.36,36.67,-121.66,76,75,10.29
107,Nyurba,RU,42.7,63.29,118.35,96,92,11.41
108,Qaanaaq,GL,24.97,77.48,-69.36,100,0,3.47
109,San Patricio,PY,66.46,-26.98,-56.83,54,0,5.03
110,Nikolskoye,RU,68,59.7,30.79,42,0,6.71
111,Zhigansk,RU,40.45,66.77,123.37,66,64,6.93
112,Selkirk,CA,69.25,50.15,-96.88,60,32,4.36
113,Tuatapere,NZ,43.06,-46.13,167.69,100,64,17.11
114,Pearl,US,85.39,32.27,-90.13,66,40,0.89
115,Nome,US,86.88,30.04,-94.42,52,75,6.93
116,Ribeira Grande,PT,64.4,38.52,-28.7,55,20,12.75
117,Mandera,ET,74.38,3.94,41.86,94,92,4.14
118,Vila Franca do Campo,PT,62.6,37.72,-25.43,55,20,16.11
119,Kalevala,FI,65.83,64.12,29.58,24,20,6.04
120,Harper,US,79.93,30.3,-99.24,54,40,8.05
121,Lufkin,US,83.55,31.34,-94.73,58,75,3.47
122,Abha,SA,75.2,18.22,42.5,27,40,0
123,Katsuura,JP,63.67,33.93,134.5,84,64,7.94
124,Hami,CN,51.7,42.84,93.51,40,0,3.47
125,Alofi,NU,73.4,-19.06,-169.92,94,40,2.24
126,Korem,ET,62.05,12.51,39.52,49,20,2.13
127,Mahebourg,MU,77,-20.41,57.7,78,75,12.75
128,Cayenne,GF,86,4.94,-52.33,70,80,16.11
129,Pont-a-Mousson,FR,64.38,48.91,6.06,77,44,9.17
130,Ushtobe,KZ,56.02,45.25,77.98,42,0,3.69
131,Essau,GM,82.4,13.48,-16.54,51,0,12.75
132,Kodiak,US,80.6,39.95,-94.76,57,20,5.82
133,Chernyshevskiy,RU,36.49,63.01,112.47,95,88,7.72
134,Dikson,RU,31.63,73.51,80.55,99,88,3.47
135,Oriximina,BR,74.11,-1.77,-55.87,100,100,3.58
136,Praia,BR,77.95,-20.25,-43.81,36,0,5.82
137,Kapaa,US,70.43,22.08,-159.32,83,90,13.87
138,Severobaykalsk,RU,32.98,55.65,109.32,96,80,3.47
139,Dauphin,CA,78.8,51.15,-100.04,27,1,5.82
140,Tuktoyaktuk,CA,32.7,69.44,-133.03,94,90,13.87
141,Isangel,VU,74.74,-19.55,169.27,100,92,17.22
142,Bredasdorp,ZA,55.4,-34.53,20.04,76,0,2.24
143,Pangnirtung,CA,26.6,66.15,-65.72,86,20,10.29
144,Lastoursville,GA,79.33,-0.81,12.73,88,20,1.68
145,Dalby,AU,35.6,-27.18,151.26,74,0,3.36
146,Kualakapuas,ID,77.8,-3.01,114.39,87,32,4.03
147,Emba,CY,76.14,34.81,32.42,78,0,5.82
148,Mbanza-Ngungu,CD,76.27,-5.25,14.87,83,24,2.35
149,Bela,PK,67.63,26.23,66.31,11,0,5.03
150,Coquimbo,CL,57.2,-29.95,-71.34,76,20,11.41
151,Yellowknife,CA,60.8,62.45,-114.38,48,75,5.82
152,Udachnyy,RU,33.88,66.42,112.4,75,68,4.92
153,Tarsus,TR,79.79,36.92,34.88,69,75,4.7
154,Kirakira,SB,80.68,-10.46,161.92,100,88,12.53
155,Xunchang,CN,52.6,28.45,104.71,86,32,2.35
156,Ibra,OM,66.28,22.69,58.55,31,0,2.35
157,Negombo,LK,84.2,7.21,79.83,79,40,9.17
158,Banjar,ID,70.51,-7.37,108.54,99,76,2.35
159,Caravelas,BR,78.61,-17.73,-39.27,100,0,13.65
160,Matara,PE,59,-13.74,-72.9,41,0,2.46
161,Umm Kaddadah,SD,91.93,13.6,26.69,20,36,9.51
162,Petropavlovsk-Kamchatskiy,RU,37.4,53.05,158.65,86,36,2.24
163,Bubaque,GW,93.2,11.28,-15.83,49,0,8.05
164,Todos Santos,MX,79.9,23.45,-110.23,39,5,11.97
165,Longyearbyen,NO,32,78.22,15.63,92,75,4.7
166,Provideniya,RU,31.72,64.42,-173.23,100,80,4.14
167,Karratha,AU,64.48,-20.74,116.85,74,8,3.58
168,Naze,NG,82.4,5.43,7.07,83,75,4.7
169,Teya,MX,91.4,21.05,-89.07,59,75,5.82
170,Pyaozerskiy,RU,63.85,65.83,31.17,32,36,5.37
171,Seoul,KR,60.12,37.57,126.98,87,90,11.41
172,Portland,US,64.4,45.52,-122.67,63,1,4.7
173,Airai,TL,68.98,-8.93,125.41,95,76,2.13
174,Camacha,PT,65.44,33.08,-16.33,59,20,17.22
175,Freeport,BS,82.4,26.54,-78.7,74,75,5.82
176,Mogadishu,SO,79.78,2.04,45.34,100,44,16.11
177,Shreveport,US,85.98,32.52,-93.77,51,75,3.58
178,Broken Hill,AU,45.22,-31.97,141.45,97,64,8.39
179,Varnamo,SE,66.15,57.19,14.04,42,0,6.93
180,Husavik,CA,76.72,50.56,-96.99,49,12,5.48
181,Cedeno,CO,69.79,7.05,-72.16,100,80,2.46
182,Tabuk,PH,69.34,17.41,121.44,95,56,1.12
183,Kruisfontein,ZA,61.06,-34,24.73,94,0,10.18
184,Mar del Plata,AR,56.47,-46.43,-67.52,54,0,11.74
185,Quelimane,MZ,77,-17.88,36.89,83,20,5.82
186,Kavaratti,IN,86.53,10.57,72.64,100,80,13.65
187,Mount Gambier,AU,54.58,-37.83,140.78,97,92,3.69
188,Cherskiy,RU,28.48,68.75,161.3,89,24,1.45
189,Tautira,PF,77,-17.73,-149.15,73,20,3.36
190,Burriana,ES,71.6,39.89,-0.08,60,20,5.82
191,Road Town,VG,86.13,18.42,-64.62,70,90,11.41
192,Port Elizabeth,US,66.22,39.31,-74.98,93,90,6.93
193,Nanortalik,GL,32.71,60.14,-45.24,93,0,23.49
194,Leningradskiy,RU,21.37,69.38,178.42,96,56,4.92
195,Sundsvall,SE,64.4,62.39,17.31,59,0,3.36
196,Usinsk,RU,33.79,66,57.56,93,0,9.73
197,Oksfjord,NO,44.78,70.24,22.35,81,75,21.92
198,Tyukalinsk,RU,46.21,55.87,72.2,81,92,28.07
199,Gobabis,NA,58.63,-22.45,18.97,57,0,4.47
200,Ionia,US,60.46,42.99,-85.07,100,90,5.82
201,Lakes Entrance,AU,57.28,-37.88,147.99,87,92,11.63
202,Smolensk,RU,60.43,54.79,32.05,80,76,6.04
203,Russell,AR,66.2,-33.01,-68.8,42,0,11.41
204,Luwuk,ID,76.63,-0.95,122.79,100,92,3.58
205,Sao Filipe,CV,72.58,14.9,-24.5,93,0,16.22
206,Malinovskiy,RU,60.34,54.15,34.53,92,12,3.91
207,Lishui,CN,68.89,28.45,119.91,98,92,2.13
208,Taltal,CL,65.83,-25.41,-70.49,74,20,3.13
209,Sampit,ID,77.35,-2.54,112.95,93,88,2.57
210,Dingle,PH,75.55,11,122.67,97,36,3.47
211,Zaozerne,UA,66.1,51.37,23.94,64,0,5.7
212,Kangaatsiaq,GL,35.05,68.31,-53.46,86,8,14.76
213,Diamantino,BR,81.85,-14.4,-56.44,59,0,4.14
214,Kieta,PG,79.33,-6.22,155.63,99,76,5.48
215,Berlevag,NO,40.64,70.86,29.09,75,40,8.05
216,Aanekoski,FI,73.4,62.6,25.73,31,0,6.93
217,Chokurdakh,RU,19.21,70.62,147.9,87,24,2.68
218,Tucuman,PE,67.45,-17.17,-70.89,55,0,3.58
219,Corinto,BR,81.13,-18.36,-44.46,51,0,4.47
220,Yar-Sale,RU,31.18,66.83,70.83,94,80,30.2
221,Grindavik,IS,45.66,63.84,-22.43,100,75,40.26
222,Dalianwan,CN,53.6,39.03,121.69,93,75,4.47
223,Kaitangata,NZ,40.27,-46.28,169.85,89,80,18.68
224,Te Anau,NZ,30.82,-45.41,167.72,93,92,2.57
225,Jalu,LY,97.6,29.03,21.55,16,8,10.07
226,Camargo,MX,84.82,27.69,-105.17,30,0,5.48
227,Linxia,CN,40.63,35.6,103.21,98,92,2.35
228,Tual,ID,81.58,-5.67,132.75,100,32,9.62
229,Sankt Johann im Pongau,AT,68,47.35,13.2,64,75,3.36
230,Zelenoborsk,RU,45.94,61.47,64.05,39,12,13.53
231,Almaznyy,RU,71.32,48.03,40.04,61,24,2.68
232,Monrovia,LR,86,6.33,-10.8,74,75,11.41
233,Namibe,AO,69.7,-15.19,12.15,92,0,11.41
234,Vardo,US,74.01,39.62,-77.74,94,90,4.7
235,Victoria,BN,78.8,5.28,115.24,94,90,1.12
236,Yura,PE,66.2,-16.25,-71.68,24,0,13.87
237,Richards Bay,ZA,65.2,-28.77,32.06,94,0,3.47
238,Bambous Virieux,MU,77,-20.34,57.76,78,75,12.75
239,Jambi,ID,72.4,-1.6,103.62,100,92,1.45
240,Perelyub,RU,61.87,51.87,50.37,40,0,8.72
241,Ahipara,NZ,58.63,-35.17,173.16,100,88,22.7
242,Comodoro Rivadavia,AR,57.2,-45.87,-67.48,62,0,10.29
243,Warrington,GB,67.64,53.39,-2.59,40,0,10.29
244,Port Lincoln,AU,54.13,-34.72,135.86,100,56,3.58
245,Cabo San Lucas,MX,83.55,22.89,-109.91,39,5,9.17
246,Anandnagar,IN,86,18.71,73.3,74,20,6.93
247,Clyde River,CA,26.6,70.47,-68.59,86,90,21.92
248,Stavrovo,RU,65.47,56.13,40.01,58,36,10.18
249,Goderich,CA,57.73,43.74,-81.71,100,88,8.5
250,Lavrentiya,RU,29.65,65.58,-170.99,100,36,8.61
251,Malchevskaya,RU,70.87,49.06,40.36,57,24,6.38
252,Kosa,RU,51.97,59.94,54.99,42,0,7.05
253,Yataity,PY,67.27,-26.37,-56.07,51,0,3.02
254,Bilibino,RU,33.52,68.06,166.44,88,24,3.13
255,Lunglei,IN,68.8,22.89,92.75,98,44,1.12
256,Santa Teresa,VE,84.2,10.26,-66.69,70,40,3.36
257,Wyndham,GB,67.14,51.61,-3.54,63,0,8.05
258,Douentza,ML,100.75,15.01,-2.95,27,0,2.68
259,Rawson,AR,56.02,-43.3,-65.11,52,76,12.75
260,Wajima,JP,58,37.4,136.9,91,80,4.59
261,Valdivia,CL,42.8,-39.81,-73.25,100,90,5.59
262,Port Hedland,AU,64.4,-20.31,118.58,48,0,8.05
263,Trincomalee,LK,78.7,8.58,81.23,88,32,9.73
264,Fort Nelson,CA,60.8,58.81,-122.69,67,90,2.24
265,Huelva,ES,67.09,37.26,-6.95,81,24,6.71
266,Charlestown,US,65.1,41.38,-71.64,67,92,5.82
267,Kota Kinabalu,MY,77,5.98,116.07,94,75,3.36
268,Gwadar,PK,88.06,25.12,62.33,54,0,14.2
269,Miraflores,CO,66.28,5.2,-73.14,67,32,2.46
270,Nevelsk,RU,44.6,46.67,141.86,81,0,4.47
271,Aklavik,CA,34.2,68.22,-135.01,100,90,12.75
272,Samana,EC,84.2,0.12,-76.97,74,40,4.7
273,Teguise,ES,68,29.06,-13.56,77,75,8.05
274,Porirua,NZ,53.6,-41.14,174.84,62,48,13.87
275,Ulety,RU,36.22,51.36,112.48,65,36,11.63
276,Chapais,CA,71.6,49.78,-74.86,28,20,16.11
277,Oktyabrskoye,RU,36.4,56.73,85.44,83,20,2.91
278,Creston,US,69.87,41.06,-94.36,88,1,4.7
279,Rocha,UY,57.1,-34.48,-54.34,64,20,13.65
280,Lazaro Cardenas,MX,82.4,28.39,-105.62,17,5,4.36
281,Saint Anthony,US,62.6,43.97,-111.68,51,1,6.93
282,Hindaun,IN,73.21,26.73,77.03,86,32,2.68
283,Fortuna,ES,75.88,38.18,-1.13,64,20,4.7
284,Launceston,AU,33.8,-41.43,147.14,86,0,6.93
285,Constitucion,MX,75.2,23.99,-104.67,12,5,4.7
286,Lompoc,US,58.12,34.64,-120.46,71,75,8.05
287,Meadow Lake,CA,71.6,54.13,-108.44,49,5,3.91
288,Kawalu,ID,68.17,-7.38,108.21,98,76,1.01
289,Port Hawkesbury,CA,57.2,45.62,-61.36,30,1,5.82
290,Esperance,TT,86,10.24,-61.45,70,40,16.11
291,Neya,RU,65.38,58.29,43.89,35,0,8.5
292,Magadan,RU,37.4,59.56,150.8,92,20,4.47
293,Petropavl,KZ,46.75,54.87,69.13,64,0,26.84
294,Constantine,DZ,66.2,36.36,6.61,63,20,9.17
295,Arman,RU,37.4,59.7,150.17,88,48,4.47
296,College,US,54.23,64.86,-147.8,71,40,4.7
297,Bandarbeyla,SO,84.19,9.49,50.81,100,36,15.1
298,Belousovka,KZ,62.6,50.13,82.52,51,75,6.71
299,La Ronge,CA,62.6,55.1,-105.3,51,5,10.29
300,Buriti Alegre,BR,80.77,-18.14,-49.04,38,0,3.69
301,Markova,RU,46.4,52.21,104.21,93,40,4.47
302,Ilulissat,GL,46.4,69.22,-51.1,31,40,12.75
303,Concordia,AR,59.44,-31.4,-58.02,90,0,5.59
304,Itanhaem,BR,74.28,-24.18,-46.79,64,0,6.93
305,Pasighat,IN,69.52,28.06,95.33,93,80,1.9
306,Macklin,CA,77.98,52.34,-109.94,37,0,5.48
307,Vestmannaeyjar,IS,44.6,63.44,-20.27,100,90,23.04
308,Thika,KE,62.6,-1.04,37.08,93,75,3.36
309,Weinan,CN,50,34.5,109.46,81,0,2.24
310,Loreto,PY,73.57,-23.27,-57.32,57,0,8.5
311,Krasnogorskoye,RU,62.68,57.7,52.5,57,0,6.38
312,Nenjiang,CN,37.21,49.17,125.23,91,0,11.63
313,Luderitz,NA,61.15,-26.65,15.16,91,0,10.4
314,Haines Junction,CA,43.33,60.75,-137.51,55,0,2.68
315,San Cristobal,EC,59,-0.39,-78.55,67,75,6.93
316,Farafangana,MG,73.12,-22.82,47.83,100,88,10.18
317,Beringovskiy,RU,30.82,63.05,179.32,97,80,5.93
318,Aykhal,RU,33.61,65.95,111.51,72,76,4.7
319,Lappeenranta,FI,69.8,61.06,28.19,37,0,3.36
320,Tadine,NC,71.68,-21.55,167.88,100,0,12.97
321,Paamiut,GL,34.6,61.99,-49.67,99,24,23.6
322,Nyrob,RU,46.75,60.74,56.73,55,0,7.05
323,Weiser,US,75.2,44.25,-116.97,44,1,4.7
324,Cienfuegos,CU,79.54,22.15,-80.44,74,90,4.7
325,Rio Gallegos,AR,44.6,-51.62,-69.22,52,20,8.05
326,Aksu,KZ,48.2,52.04,76.93,93,90,8.95
327,Kamenka,RU,64.3,53.19,44.05,59,80,8.05
328,Saldanha,PT,75.28,41.42,-6.55,34,56,6.6
329,Fort Frances,CA,71.6,48.61,-93.4,43,1,4.7
330,Kagalnitskaya,RU,70.24,46.88,40.15,69,24,2.68
331,Lubango,AO,66.28,-14.92,13.49,65,0,1.68
332,Hofn,IS,44.5,64.25,-15.21,98,92,26.17
333,Severnoye,RU,56.11,54.09,52.54,68,8,3.02
334,Faya,SA,75.2,18.39,42.45,27,40,7.16
335,Flinders,AU,51.8,-34.58,150.85,81,0,2.24
336,Mgachi,RU,42.52,51.05,142.27,88,8,2.13
337,Miri,NG,80.86,10.31,9.75,75,0,2.68
338,Khandyga,RU,37.84,62.65,135.58,76,24,3.02
339,Natal,BR,87.8,-5.81,-35.21,52,40,20.8
340,Boa Vista,BR,89.6,2.82,-60.67,55,75,17.22
341,Acapulco,MX,89.6,16.86,-99.88,62,5,3.36
342,Hambantota,LK,81.13,6.12,81.12,100,32,12.64
343,Saint-Prosper,CA,72.67,46.21,-70.48,40,36,8.05
344,Santiago del Estero,AR,67.27,-27.8,-64.26,68,8,4.47
345,Umm Lajj,SA,86.26,25.02,37.27,66,0,10.07
346,Bad Sackingen,DE,69.46,47.55,7.95,49,75,8.05
347,Misratah,LY,84.73,32.38,15.09,42,76,19.13
348,Zarubino,RU,50.26,42.65,131.06,93,92,9.51
349,Hailar,CN,35.95,49.2,119.7,95,92,12.75
350,Karlstad,SE,69.8,59.38,13.5,26,0,5.82
351,Kulhudhuffushi,MV,85,6.62,73.07,99,20,11.07
352,Swakopmund,NA,66.2,-22.68,14.53,72,0,6.6
353,Kavieng,PG,83.65,-2.57,150.8,100,80,8.61
354,Peleduy,RU,35.77,59.63,112.75,100,92,2.68
355,Kahului,US,71.6,20.89,-156.47,94,40,13.87
356,Harbour Breton,CA,45.67,47.48,-55.8,83,20,15.66
357,Matay,EG,90.85,28.42,30.79,23,0,6.38
358,Mocuba,MZ,71.05,-16.84,36.99,82,0,4.92
359,Ostrovnoy,RU,49,68.05,39.51,78,56,12.19
360,Covington,US,82.63,35.56,-89.65,69,90,5.82
361,Vicam,MX,82,27.64,-110.3,28,5,9.17
362,Hauterive,FR,68.14,46.09,3.45,63,0,3.36
363,Bratsk,RU,44.6,56.15,101.63,100,75,6.71
364,El Sauzal,AR,62.6,-24.3,-64.96,63,90,5.82
365,Mezhdurechensk,RU,53.5,53.69,88.07,95,92,4.7
366,Nijar,ES,69.8,36.97,-2.21,73,0,3.36
367,Gonen,IL,91.4,33.12,35.65,26,0,1.12
368,Ambovombe,MG,72.04,-25.18,46.09,85,0,8.72
369,Belyy Yar,RU,59,53.6,91.39,67,0,11.18
370,Pisco,PE,68,-13.71,-76.2,77,0,8.05
371,Sigli,ID,77.8,5.38,95.96,97,32,3.36
372,Zapolyarnyy,RU,41,69.43,30.82,86,75,12.75
373,Iguape,BR,72.22,-24.7,-47.56,93,0,5.59
374,Margate,AU,50,-43.03,147.26,71,75,10.29
375,Gat,SN,86.17,14.69,-16.54,33,8,15.21
376,Poronaysk,RU,50.17,49.22,143.1,75,0,4.47
377,Buraydah,SA,96.8,26.33,43.97,23,0,13.87
378,De Aar,ZA,41.26,-30.65,24.01,87,0,3.47
379,Hamilton,CA,59.97,43.26,-79.87,88,90,6.93
380,Kununurra,AU,71.6,-15.77,128.74,30,92,6.93
381,Yulara,AU,51.8,-25.24,130.99,50,48,6.93
382,Quepos,CR,76.12,9.43,-84.16,69,75,10.29
383,Manavalakurichi,IN,84.2,8.13,77.3,83,20,4.7
384,Santo Angelo,BR,60.79,-28.3,-54.26,79,0,6.93
385,Mukhen,RU,56.02,48.19,136.14,46,24,6.15
386,Ventspils,LV,60.8,57.39,21.56,67,0,3.36
387,Sechura,PE,76.9,-5.56,-80.82,79,0,9.4
388,Narsaq,GL,48.2,60.91,-46.05,26,75,11.41
389,Quirinopolis,BR,77.71,-18.45,-50.45,51,0,4.03
390,La Palma,CO,74.2,5.36,-74.39,89,64,2.35
391,Erenhot,CN,47.29,43.65,111.97,31,20,13.76
392,Dillon,US,59,45.22,-112.64,67,40,8.05
393,Samarai,PG,78.79,-10.62,150.67,100,88,10.4
394,Aksarka,RU,32.26,66.56,67.8,87,0,19.13
395,Velikiy Ustyug,RU,67.27,60.76,46.3,36,0,8.16
396,Rudsar,IR,70.77,37.14,50.29,83,75,4.14
397,Emerald,AU,47.83,-23.53,148.16,77,8,8.95
398,Thinadhoo,MV,84.37,0.53,72.93,100,48,5.03
399,Saint-Francois,FR,71.6,46.42,3.91,53,64,6.93
400,Mbini,GQ,84.2,1.58,9.62,83,40,4.7
401,Hervey Bay,AU,61.87,-25.3,152.85,100,0,10.4
402,Marzuq,YE,73.03,14.4,46.47,21,8,4.36
403,Colac,AU,54.13,-38.34,143.59,98,92,4.14
404,Turan,RU,40.45,52.15,93.92,93,76,2.35
405,Sur,OM,85.72,22.57,59.53,79,0,4.47
406,Filingue,NE,96.52,14.35,3.32,39,0,4.7
407,Henderson,US,79.16,36.04,-114.98,18,1,4.7
408,Safford,US,82.4,32.83,-109.71,8,1,17.22
409,Oron,NG,82.57,4.81,8.23,75,20,7.38
410,Jian,IN,81.4,25.65,87.89,89,68,8.16
411,Morehead,US,75.2,38.18,-83.43,73,40,6.38
412,Pochutla,MX,88.23,15.74,-96.47,95,40,8.05
413,Waingapu,ID,76.63,-9.65,120.26,84,20,11.07
414,Necochea,AR,57.28,-38.55,-58.74,79,32,13.98
415,Padang,ID,79.06,-0.92,100.36,100,92,8.72
416,High Level,CA,69.8,58.52,-117.13,43,75,4.7
417,Turukhansk,RU,27.22,65.8,87.96,76,32,6.38
418,Knysna,ZA,55.4,-34.04,23.05,82,20,3.36
419,Gamboma,CG,79.6,-1.87,15.88,81,0,3.13
420,Saltpond,GH,82.21,5.2,-1.06,75,32,7.61
421,Maues,BR,87.52,-3.38,-57.72,70,8,3.58
422,Newport,GB,68.02,51.59,-3,56,0,12.75
423,Dali,CN,63.4,25.6,100.24,88,80,1.9
424,Jumla,NP,33.79,29.28,82.18,80,8,2.68
425,Guerrero Negro,MX,65.65,27.97,-114.04,72,8,11.18
426,Puerto Madryn,AR,56.56,-42.77,-65.04,73,36,15.21
427,Nemuro,JP,48.19,43.32,145.57,88,0,12.97
428,Pimentel,BR,82.3,-3.7,-45.5,81,68,4.7
429,Atikokan,CA,73.75,48.76,-91.62,37,0,3.13
430,Panzhihua,CN,61.69,26.59,101.72,98,92,2.46
431,Makat,KZ,81.22,47.65,53.35,18,0,14.76
432,Marawi,PH,68.35,8,124.29,97,20,2.35
433,Kirksville,US,77.07,40.19,-92.58,69,0,3.69
434,Terrasini,IT,64.98,38.15,13.08,93,40,12.75
435,Saraland,US,83.79,30.82,-88.07,69,1,5.82
